Keyword,Source,Sentence,Note_ID
月考,title,⏰爱德思2026年5月大考时间,699ef82d000000001a026b39
月考,content,爱德思2026年5月考季时间表~ 大家安排学习和复习可供参考 补充说明： 1️⃣只放了常规的数理化生经商会和心理，如需其他科目请自行检索 2️⃣时间场次恢复了常规的下午1点和4点 3️⃣只有5月21日13点的化学U3和经济U3是同场次，其他时间都很友好，考试时间战线也拉得很长，算是有利于备考 （ps：26年1月大考的成绩是3月5日出分，学校/考点提前一天） 小小碎碎念 今年是丙午年（火旺），所以我用蓝色笔圈出了化学学科，这样可以防止火气过旺而焦躁（参考春晚主持人衣服，咳咳…），平心静气备考，从从容容作答，你们就是最棒的~(˶╹ꇴ╹˶)~ #爱德思#爱德思考试#爱德思考试时间#爱德思化学#国际学校#Alevel#Edexcel#化学老师#爱德思出分#爱德思考试局,699ef82d000000001a026b39
月考,content,想到去年这个时候，内心非常崩溃，因为之前的深一模考得很好，排名很高，但是四月的深二模、学校组织的三模、月考，都考得很差,680b81b7000000001d001dec
月考,content,而且排名掉的很厉害…所以当时心态其实已经快崩溃了,680b81b7000000001d001dec
月考,content,🥲🥲 五月在小红书上发了篇帖子，标题是“还有20天这个女生必须出现在深大”，现在回过头来看这个标题起得还真是有点太猖狂了哈哈哈哈,680b81b7000000001d001dec
月考,comment,想知道跟父母关系不是很亲昵的考试们，希望父母家人考试期间怎么做,680b81b7000000001d001dec
月考,comment,宝宝怎么调整心态的 有时候很努力了还是考不好好难受,680b81b7000000001d001dec
月考,comment,宝宝可以问问你模拟考跟高考差了多少分吗,680b81b7000000001d001dec
月考,comment,虽然我一定是考不到深大这么高了，现在只能在本科线上一小截，英语数学物理三大巨头一直在压着我，学姐英语到底怎么学啊,680b81b7000000001d001dec
月考,comment,我在杭州见了一些男主播后只能说没那么帅哈哈哈哈后悔刷礼物了,6a1dd0ef000000003503a5a9
月考,comment,我也是 看得眼红，嘉年华几十个刷，到底是干什么能赚成这样,6a1dd0ef000000003503a5a9
月考,content,八下第一次月考和期中考试，公主都没考好，班级名次掉到13和15，成绩出来的时候伤心了几天，然后就又变回之前那样不主动，不自律的状态，学习方法不对，学习效率极低，去卫生间抱着平板和书，半个小时不出来,6a2a43fc0000000008025aaa
月考,content,我跟他爸心里很是着急，连续两个周末都在跟她谈话，改正学习态度，爸爸这回真的很生气，话说的也比较重了,6a2a43fc0000000008025aaa
月考,content,老师也找她谈了一次话，批评中带着鼓励，希望她可以重回前十,6a2a43fc0000000008025aaa
月考,content,可能是爸爸和老师话对她起了作用，连着两三周都对学习很是上心，不用追，基本能主动去坐到学习桌前，主动让我给她买地生卷子，晚上主动刷题，十一点前没有再偷懒，这两天更是十一点半才结束睡觉💤，这次月考重回前十名，也是对她一段时间努力回报吧，公主自己也挺开心，毕竟看到结果是好的，努力没有白费，爸爸给她奖励200元，表示对她努力付出这种态度的肯定,6a2a43fc0000000008025aaa
月考,content,再过两周就是地生会考了，昨天模拟考试也不太理想，回家很是沮丧😟，说自己刷了很多卷子，还是不能满分，担心会考也不能满，心情很差，自己还掉了眼泪，我跟爸爸安慰她，只要是认真审题，改正粗心大意毛病，她是有实力满分的，如果不🈵，那就是运气差了点，天意弄人,6a2a43fc0000000008025aaa
月考,content,#太可爱了#sk么么哒#sk么么哒月考#sk5月月考#sk月考,6a1d888a000000003701f95a
月考,comment,真的好可爱她但是她拉麦好心疼,6a1d888a000000003701f95a
月考,comment,呜呜散粉看到么么哒每次拉票拉过都会深深鞠躬真的[完啦R][完啦R],6a1d888a000000003701f95a
月考,comment,不粉，只是觉得好可爱哈哈哈哈蛮有好感的,6a1d888a000000003701f95a
月考,comment,听说才19岁，太小了，这个工作强度工作压力，很厉害了,6a1d888a000000003701f95a
月考,comment,她家散票太牛了,6a1d888a000000003701f95a
月考,title,sk月考太刺激了,6a1d938c0000000008001ecf
月考,comment,你说要是这些七十几级大哥都决定打到底那是什么盛况，不敢想象，肯定都好看,6a1d938c0000000008001ecf
月考,comment,我去太好看了我去,6a1d938c0000000008001ecf
月考,comment,么么哒家好能打啊，哥姐太支持了,6a1d938c0000000008001ecf
